name_latin,style,verified
Ibrahim,emerald_gold,true
Yusuf,hero_navy,true
Maryam,aquarelle,true
Aisha,split_panel_terracotta,true
Ali,mihrab_navy,true
Fatima,vertical,true
Noor,duo_sage,true
Musa,split_panel,true
Zainab,hero_ivory,true
Adam,hero_black,true
Khadija,mihrab_ivory,true
