name_latin,name_arabic,date,meaning,dua_arabic,dua_translation,style,ornament,verified
Ar Rahmaan,"الرَّحْمَنُ",,"The Beneficent",,,names_99_grid,none,true
Ar Raheem,"الرَّحِيمُ",,"The Merciful",,,names_99_grid,none,true
Al Malik,"الْمَلِكُ",,"The King / Eternal Lord",,,names_99_grid,none,true
Al Quddus,"الْقُدُّوسُ",,"The Purest",,,names_99_grid,none,true
As Salaam,"السَّلاَمُ",,"The Source of Peace",,,names_99_grid,none,true
