name_latin,style,verified
Andalus,geo_khatam,true
Cordoba,geo_flower,true
Marrakesh,geo_zellige,true
Alhambra,geo_unwan,true
Damascus,geo_unwan_navy,true
Isfahan,geo_shamsa,true
Granada,geo_panel,true
